cycle,timestamp,pH,conductivity,temperature,ORP,LSI,RSI,risk_level,primary_risk,preemptive,doses,blowdown,slug_doses,cost_inr,safety_overrides,emergency_stop
60,1704084600.0,7.56,1523.0,35.6829433562003,587.7173885428581,0.8690005493655661,5.821998901268867,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.1818, 'AQUATREAT-1196': 0.6575, 'AQUATREAT-2150': 0.0938, 'AQUATREAT-4612': 0.0422, 'AQUATREAT-6625': 0.0732}",0.0,{},228.98,2,False
61,1704084900.0,7.21,1435.0,35.09480653279132,664.181060437273,0.44773438234665885,6.314531235306682,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1896, 'AQUATREAT-1196': 0.6825, 'AQUATREAT-2150': 0.122, 'AQUATREAT-4612': 0.0548, 'AQUATREAT-6625': 0.0767}",0.0,{},247.67,2,False
62,1704085200.0,7.42,1391.0,34.81216358080651,643.0330497104408,0.6403584402642686,6.139283119471463,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1988, 'AQUATREAT-1196': 0.7101, 'AQUATREAT-2150': 0.0384, 'AQUATREAT-4612': 0.0713, 'AQUATREAT-6625': 0.0795}",0.0,{},240.31,2,False
63,1704085500.0,7.04,1631.0,36.448056168266895,692.6194643415474,0.35496232607804945,6.330075347843901,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1669, 'AQUATREAT-1196': 0.1763, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.0927, 'AQUATREAT-6625': 0.0699}",0.0,{},124.96,3,False
64,1704085800.0,7.27,1398.0,35.59321141196372,606.745416896697,0.49891349914577354,6.2721730017084525,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1971, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.1205, 'AQUATREAT-6625': 0.0784}",0.0,{},197.63,3,False
65,1704086100.0,7.6,1393.8461538461538,35.07226334182686,636.1879110765313,0.8149241894731887,5.970151621053622,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.1992, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.1566, 'AQUATREAT-6625': 0.0797}",0.0,{},242.21,3,False
66,1704086400.0,8.14,1270.0,35.638191475306286,650.5009544575129,1.3149621057041259,5.510075788591749,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.2248, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.2036, 'AQUATREAT-6625': 0.0878}",0.0,{},305.56,3,False
67,1704086700.0,6.85,1343.076923076923,36.05091791737477,664.2252064105309,0.02913911226977639,6.791721775460447,LOW,corrosion,True,"{'AQUATREAT-2501': 0.051, 'AQUATREAT-1196': 0.2396, 'AQUATREAT-2150': 0.1428, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0845}",0.0,{},194.49,3,False
68,1704087000.0,7.56,1292.0,35.55970712560954,655.2639673607637,0.7402136411734039,6.079572717653192,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.0312, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0871}",0.0,{},226.88,3,False
69,1704087300.0,7.05,2456.9230769230767,34.89613256709118,657.3298812958569,0.4797930921659104,6.090413815668179,LOW,biofouling,False,"{'AQUATREAT-2501': 0.0581, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.053}",0.0,{},232.73,3,False
70,1704087600.0,7.27,1344.0,35.80987433709078,655.4902489744495,0.49973870628460304,6.2705225874307935,LOW,scaling,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.069}",0.0,{},294.96,4,False
71,1704087900.0,7.77,1507.0,35.77122451304059,651.151946375502,1.0641331045346005,5.6417337909307985,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0828}",0.0,{},358.07,3,False
72,1704088200.0,7.06,1288.0,35.419289797531945,648.0796403618432,0.2659188495263587,6.528162300947282,LOW,corrosion,True,"{'AQUATREAT-2501': 0.0684, 'AQUATREAT-1196': 0.2733, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.087}",0.0,{},197.3,3,False
73,1704088500.0,7.23,1261.0,36.17129441126166,639.541442380007,0.48129741290722716,6.267405174185546,LOW,biofouling,False,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.1428, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0898}",0.0,{},255.33,3,False
74,1704088800.0,7.36,1271.0,36.46403288842653,664.1985115455303,0.4520917996446858,6.455816400710629,LOW,corrosion,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.0411, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0898}",0.0,{},266.4,3,False
75,1704089100.0,7.06,1289.0,36.21117343622252,666.5055264507034,0.16023562146433523,6.739528757071329,LOW,corrosion,True,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.0535, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0883}",0.0,{},316.65,3,False
76,1704089400.0,7.69,1326.0,35.68561438549681,644.0058303897814,0.8044364526778489,6.081127094644303,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.3662, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.0695, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0855}",0.0,{},381.78,3,False
77,1704089700.0,6.4,1340.0,35.209938291282775,643.4755346099793,-0.4958812469690912,7.391762493938183,LOW,corrosion,True,"{'AQUATREAT-2501': 0.0669, 'AQUATREAT-1196': 0.3333, 'AQUATREAT-2150': 0.0904, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.084}",0.0,{},204.77,3,False
78,1704090000.0,7.51,1291.0,35.113834081402544,630.9997885384357,0.6487843887709168,6.212431222458166,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4333, 'AQUATREAT-2150': 0.033, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0869}",0.0,{},230.95,3,False
